"","Attempt","maxAC","meanAC","maxACVariable","ESS"
"1",1,0.256978110434693,0.0772182199240043,"summer_tmmx",13324534.9463742
"2",2,0.0571211006128299,0.0232870063966133,"summer_rmax",10690459.0097947
"3",3,0.0565060819016539,0.0173914313543401,"summer_rmax",11584250.7952501
"4",4,0.0588283011328117,0.0195601702826262,"summer_rmax",11004064.5419173
"5",5,0.21718445944903,0.0692811648975357,"summer_tmmx",13097412.8886865
"6",6,0.054462734822738,0.0190193786060549,"summer_rmax",12295830.6540745
"7",7,0.0593194142417544,0.0264780655947952,"summer_rmax",9901302.12332493
"8",8,0.0603025052627449,0.0270689633126442,"summer_rmax",9883669.34517335
"9",9,0.0624912454209386,0.0177992326588365,"summer_rmax",11239701.8139142
"10",10,0.0766662174996232,0.0242889908186109,"summer_rmax",13628473.794406
"11",11,0.0568014030586338,0.0288305828592441,"summer_rmax",9824571.77453343
"12",12,0.0616913688138246,0.020010239174115,"summer_rmax",12497185.2050031
"13",13,0.0585884123034737,0.0194066782250676,"summer_rmax",13050066.6136163
"14",14,0.0653210035683392,0.0247429040155016,"summer_rmax",13492558.3049386
"15",15,0.0585194945431671,0.0274160248803517,"summer_rmax",10155776.3343047
"16",16,0.0612698321400736,0.0259815734274719,"summer_rmax",9493206.30883437
"17",17,0.0544006390120384,0.0192291783835587,"summer_rmax",11847477.4249765
"18",18,0.180005388991913,0.0607328351361719,"summer_tmmx",13155709.768426
"19",19,0.332246302335408,0.100383178739782,"summer_tmmx",17187669.0035836
"20",20,0.0588858191179461,0.0275489561855979,"summer_rmax",9366553.86026816
"21",21,0.0493084170975712,0.0165867550203034,"summer_rmax",11873059.0327257
"22",22,0.0548897094258816,0.0236904229099292,"summer_rmax",10307385.6903383
"23",23,0.0577106690073991,0.0281922876094419,"summer_rmax",9739884.97812895
"24",24,0.0566621234349078,0.0264285812307462,"summer_rmax",9809731.53183864
"25",25,0.058669529060561,0.0176153796570518,"summer_rmax",10773862.2781034
"26",26,0.0619023768444738,0.0272842437065504,"summer_rmax",9599600.30072613
"27",27,0.0486109521674596,0.018219168589272,"summer_rmax",12432571.0053505
"28",28,0.0526294349011335,0.0195791335096132,"summer_rmax",10759765.4867331
"29",29,0.0823407863566422,0.0315004470378512,"summer_rmax",13904837.5009846
"30",30,0.0600561739213012,0.0204188179899048,"summer_rmax",10497653.9255337
