Exposure,Method,Coefficient,BootSE,IQR,HR,coef_CI_lower,coef_CI_upper,HR_CI_lower,HR_CI_upper
no2,GPS Matching,0.00560793951197954,0.000701981238756164,12.0123489410713,1.0696853355066,0.00423205628401746,0.00698382273994162,1.05215131215747,1.08751156205051
no2,GPS Weighting,0.00466972897076545,0.000367045345584711,12.0123489410713,1.057697540327,0.00395032009341942,0.00538913784811148,1.04859652099717,1.06687754957449
no2,Poisson Regression,0.0112368369207448,0.0002667138554475,12.0123489410713,1.14451481642142,0.0107140777640677,0.0117595960774219,1.13735027941056,1.15172448516654
ozone_summer,GPS Matching,0.00212988489440428,0.000806152271812765,9.8009368169355,1.02109427133675,0.000549826441651261,0.0037099433471573,1.00540335999065,1.03703006419873
ozone_summer,GPS Weighting,0.00447862250675715,0.000469240617319056,9.8009368169355,1.04487232008552,0.0035589108968118,0.0053983341167025,1.03549612618441,1.05433341339847
ozone_summer,Poisson Regression,0.00562714615687575,0.000343305678089449,9.8009368169355,1.05670048553089,0.00495426702782043,0.00630002528593107,1.04975463731418,1.06369229192271
pm25,GPS Matching,0.0251932909100214,0.00329661026219217,4.15923342325413,1.11047158626917,0.0187319347961247,0.0316546470239181,1.0810258909402,1.14071934284448
pm25,GPS Weighting,0.0246820226985024,0.0012287140969159,4.15923342325413,1.1081126953539,0.0222737430685472,0.0270903023284576,1.0970685814701,1.11926798957185
pm25,Poisson Regression,0.0340805656464866,0.000867745124178552,4.15923342325413,1.15228742004365,0.0323797852030966,0.0357813460898766,1.14416496742325,1.16046753413634
